surface_tension,molecular_formula,density_liquid,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,C,Br,Cl,F,N,O,H,I,S,Si,Al,Ga,P,B,molecular_weight
20.29,C2H2Cl2F2,1.4054,27.054,27.227,0.0015568,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.939968326
36.36,C2H2Cl2O,1.434,32.581,36.22,0.0011463,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.942567
32.71,C2H2Cl2O,1.433,31.141,34.146,0.0012616,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.942567
35.44,C2H2Cl2O2,1.553,40.975,49.505,0.00085494,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.941972
32.74,C2H2Cl3F,1.575,31.423,31.53,0.0010923,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.394465163
29.37,C2H2Cl3F,1.4837,30.887,31.027,0.0011356,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.394465163
34.09,C2H2Cl3F,1.5314,32.26,30.276,0.0010384,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.394465163
35.75,C2H2Cl4,1.535,35.627,35.409,0.0011034,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.848962
35.44,C2H2Cl4,1.587,36.397,38.488,0.0010966,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.848962
8.41,C2H2F4,1.21,20.318,20.972,0.0032229,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.030974652
9.93,C2H2F4,1.21,20.626,21.795,0.0027059,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.030974652
